id	group	quantity	code_name	value_unit	file_line@171934433	used_by	production	provenance_as_written	label	flags	judgment	root_commit	related_ids
D08	AM-e	Stage E AM σ_e 결정/크기 인자	sigma_e_grain_factor_AM()	AM_P r≤3:0.75 · ≤7:0.65 · ≤12:0.55 · >12:0.45; AM_S 1.00 (<0.5 µm 0.85); 결측 r=6.0	scripts/run_network_full_corrections.py:139	Stage E σ_e — 웹앱 생산	Y	":178 return 0.65  # Trevisanello 2021 reference" · "Wang 2021 measured single-crystal NMC at 1-5 μm with consistent σ"	LIT-M		Trevisanello 카드: σ_e 를 SC/PC 로 측정한 적 없음 (0.65 의 근거 불가). Wang 2021 은 카드 없음 (정본 wang2018 은 조성 의존만). 네 단계 값·경계는 근거 없음. 솔버 내부 NCM(r) (D05)과 곱해져 AM_P 에 이중 감쇠.	e241675f1 2026-04-30	
D09	AM-κ	Stage E AM κ 인자	kappa_grain_factor_AM()	AM_P 0.65/0.50/0.40/0.30; AM_S 1.00	scripts/run_network_full_corrections.py:184	Stage E κ — 웹앱 생산	Y	"(2c) κ_thermal_grain(crystal, R) — Wang 2022 + phonon size effect" · "AM_S: ... single-crystal κ ~5-8 W/mK"	LIT-U	DRIFT(5–8 vs 4 W/mK)	"Wang 2022" 카드 없음 (정본 wang2022_* 두 장은 계면분해·열안정 — 무관). AM_S "5–8 W/mK" 는 K_AM_THERMAL 4 와 불일치.	e241675f1 2026-04-30	
D10	AM-κ	Stage E SE κ 인자 서술	kappa_grain_factor_SE()	1.00 ("~0.5 W/mK")	scripts/run_network_full_corrections.py:213	Stage E κ	Y	"SE κ factor — sulfide is already glassy (~0.5 W/mK), size-invariant."	NONE	DRIFT(0.5 vs 0.7)	K_SE_THERMAL 0.7 (E01)과 다른 값, 출처 없음.	e241675f1 2026-04-30	
D11	fracture	K_IC 단결정 NCM	K_IC_AM_S	1.0 MPa·m½	scripts/fracture_model.py:61	P_c = A·K_IC²·R/E* → Stage E 파괴 단계 → σ_e	Y	헤더 "single-crystal NCM  Liu 2020" / 참고문헌 "Liu 2020  Nat. Energy 5, 304  (single crystal K_IC)"	LIT-U	서지 불일치 의심	카드 없음. 검색 요약(미확인): Nat. Energy 5, 299–308 (2020) 은 Lee·Fujiki·Jung 외 "Ag–C 복합 음극 전고체 전지" (Samsung) — 1저자도 주제도 다르다. ⇒ 서지 자체가 지어졌거나 뒤섞였을 가능성이 높다.	b1c8262fe 2026-04-29	
D12	fracture	K_IC 다결정 NCM	K_IC_AM_P	0.3 MPa·m½	scripts/fracture_model.py:62	Stage E 파괴 단계 → σ_e	Y	"polycryst secondary NCM  Quinn 2020" / "Quinn 2020  Joule 4, 2466  (polycryst K_IC, fragmentation)"	LIT-U	서지 미확인	카드 없음. 검색으로 "Joule 4, 2466" 서지를 찾지 못했다; Quinn 은 Heenan 외 2020 Adv. Energy Mater. (NMC811 균열 기원) 의 공저자 (검색 요약 — 미확인). K_IC 0.3 수치 근거 미상.	b1c8262fe 2026-04-29	
D13	fracture	Auerbach 상수	A_AUERBACH	200	scripts/fracture_model.py:68	P_c ∝ A → Stage E 파괴 단계	Y	"Lawn 1998 §3.4 default for \"as-prepared\" surface (low-flaw 50, rough 500)"	LIT-U		교재 인용(카드 없음). "§3.4 default · 50/200/500" 이라는 구체 표는 확인 불가. P_c 가 A 에 선형이라 이 값이 파괴 판정 문턱을 직접 정한다.	b1c8262fe 2026-04-29	
D14	fracture	손상 단계 배수	MULT_* (δ) / Stage E (F) 1·3·11·32	δ 1/2/5/10 ⇔ F 1/3/11/32	scripts/fracture_model.py:72	Stage E 파괴 단계	Y	"(Lawn 1998 Table 3.4; δ ∝ P^(2/3))"	LIT-U		교재 "Table 3.4" 확인 불가 (카드 없음). F 배수는 δ 배수의 3/2 승으로 일관 유도됨.	b1c8262fe 2026-04-29	
D15	fracture	E_AM (파괴 모듈)	E_AM	140 GPa	scripts/fracture_model.py:63	P_c = A·K_IC²·R/E* → Stage E 파괴 단계	Y	HEAD: "Young's modulus  project convention (SELF-51)"	CONV	171934433 에서 정정됨	옛 출처 "Xu 2017 PRX 7, 041038"(틀린 서지)·"Wang 2020"(지어진 인용)은 SELF-51 1단계 커밋에서 "project convention" 으로 정정.	b1c8262fe 2026-04-29	SELF-51, CL-90
D15b	fracture	ν_AM · H_AM (파괴 모듈)	NU_AM / H_AM	0.25 / 6.0 GPa	scripts/fracture_model.py:64	ν: P_c 의 E* · H: 정보용(계산 미사용)	Y(ν)	"Poisson ratio (ceramic)" / "hardness (informational) source unverified (SELF-51)"	NONE		ν 0.25 근거 없음. H 6.0 은 지어진 "Wang 2020" 을 떼어 낸 뒤 "출처 미확인" 으로 정직하게 남음.	b1c8262fe 2026-04-29	SELF-51
D16	AM-mech	E_AM / ν_AM (Tabor 모듈)	E_REAL_AM / POISSON_AM	140 GPa / 0.25	scripts/plastic_coverage.py:35	Physics 면적 E*	Y	"# Pa, NCM Young's modulus" (출처 없음)	NONE		같은 140 이 파일마다 다른(또는 없는) 출처.	660600a44 2026-04-24	CL-90
D17	AM-geom	표면 형상 인자 (AM)	SHAPE_FACTOR[AM_P] / [AM_S]	1.40 / 1.10	scripts/dem_analysis_core.py:27	coverage (B3 보정), coverage_physics	Y	"accessible surface is ~40% larger than a perfect sphere (Quinn 2020, Lim 2017). Single-crystal NCM is closer to a faceted sphere (Liu 2020, Wang 2022)."	LIT-U	MEAS-NO-DATA(웹앱 툴팁 "직접 측정값 기반")	네 인용 모두 정본 카드 없음; Liu 2020 은 D11 과 같은 의심 서지. single.html:2134/2140 은 이 값을 "Quinn 2020 / Lim 2017 의 직접 측정값 기반 보정" 이라 적는데 리포에 측정 데이터가 없다.	00368b5ea 2026-04-29 (툴팁 573a07187 2026-04-30)	
D17b	SE-geom	표면 형상 인자 (SE)	SHAPE_FACTOR[SE]	1.05	scripts/dem_analysis_core.py:29	coverage (B3)	Y	"Quenched-glass SE is near-spherical with mild surface roughness (Sakuda 2013)."	LIT-M		Sakuda 카드에 거칠기·형상 인자 없음. 게다가 우리 SE 는 결정질 argyrodite (LPSCl) 이지 quenched glass 가 아니다 — 다른 소재의 서술을 옮겨 옴.	00368b5ea 2026-04-29	
D18	AM-e	Stage E ASR 신뢰창	ASR_IONIC_TRUST_RANGE_OHM_CM2	10–200 Ω·cm²	scripts/run_network_full_corrections.py:526	validation_flags (웹앱 표시)	Y(플래그)	"Bielefeld 2022 reports 10-50 Ω·cm² ... Lee 2020 reports 30-80 Ω·cm² at 380 MPa"	LIT-U		Bielefeld 2022 · Lee 2020 모두 카드 없음 (정본 Bielefeld 는 2019·2020 뿐).	9a13628aa 2026-05-13	
E01	κ	κ_SE (LPSCl)	K_SE_THERMAL	0.7 W/(m·K)	scripts/network_conductivity.py:132	접촉망 열 채널 σ_bulk · STEP3 열 솔브 (step3_sigma:1039)	Y	"≈ 0.7 W/(m·K), LPSCl (Ketter 2025)" / step3 "[lit: Ketter 2025 (LPSCl thermal)]"	LIT-U	LIT-M 의심	정본 카드 없음 (ketter2025 뼈대는 09-22 삭제). research-agent 볼트 노트(원문 기반 표기)는 Ketter 2025 측정을 "LPSCl 0.32 ± 0.02, NCM83 0.71 ± 0.04 W m⁻¹K⁻¹" 로 적는다 — 사실이면 0.7 은 Ketter 의 NCM 값이고 LPSCl 값이 아니다 (원문 미확인; 검색 요약은 다른 문헌의 LPSCl 0.45–0.70 을 보고). docs/thermal_conductivity_derivation.md:298 의 서지 "Ketter, F., et al. (2025). Thermal conductivity of LPSCl argyrodite." 는 실제 논문(L. Ketter 외, Nat. Commun. 16, 1411 "Using resistor network models …")과 저자 이니셜·제목이 다르다.	660600a44 2026-04-24 (import; step3 쪽 1b633d93d 2026-07-23)	SELF-39
E02	κ	κ_AM (NCM)	K_AM_THERMAL	4.0 W/(m·K)	scripts/network_conductivity.py:131	열 채널 k_ratio=5.7 (AM–AM 가중)	Y	network: "≈ 4 W/(m·K), NCM" / step3: "generic NCM 문헌-order; 전용 인용 없음"	NONE		출처 없음(step3 는 정직하게 명시). 볼트 노트의 Ketter NCM83 0.71 이 맞다면 5.6× — k_ratio 5.7 ↔ Ketter 비 ≈2.2.	660600a44 2026-04-24	SELF-39, CL-12
E03	κ	κ_PTFE / κ_pore	K_PTFE_THERMAL / K_PORE_THERMAL	0.25 / 0 W/(m·K)	scripts/step3_sigma.py:1040	STEP3 열	Y	"polymer generic; 전용 인용 없음" / "ASSUMED"	CONV		정직.		
F01	STEP3-e	σ_VGCF	SIGMA_DEFAULT VGCF / --sigma-vgcf	100 S/cm	scripts/step3_sigma.py:93	STEP3 전자망 (Phase A)	Y	"frozen, uncalibrated legacy voxel-network coefficient (Codex R20) … 83 에서 유도되지 않았다"	CONV		정직 (R20-04 정정 완료). 단 docstring 의 "분말 0.012 Ω·cm ≈ 83" 은 R20-04 가 압축조건 없는 쪽이라 지적한 수치 — 제조사 사양은 0.017 Ω·cm @0.8 g/cm³ (58.8 S/cm).	087d1a07 2026-07-09	R20-04, SELF-13, CL-47
F02	STEP3-e	σ_SuperP	SIGMA_DEFAULT SuperP	10 S/cm	scripts/step3_sigma.py:93	STEP3 전자망	Y	"lit order ⚠hook"	CONV		자릿수 hook 명시.		SELF-13
F03	STEP3-e	σ_SDCP	SIGMA_DEFAULT SDCP	250 S/cm	scripts/step3_sigma.py:93	STEP3 전자망 (SDCP)	Y	"USER anchor (2026-07-16; 진성호계 S-PEDOT…)"	CONV		사용자 제공값, 시편 규약 미기록 (CL-61: [35] Patil 은 근거 아님).		CL-61
F04	STEP3-e	σ_SWCNT	SIGMA_DEFAULT SWCNT	100 S/cm	scripts/step3_sigma.py:94	STEP3 (A14)	Y(opt)	"VGCF급 lit order ⚠hook"	CONV		정직.		
F05	STEP3-i	σ_ion SDCP	--sigma-ion-sdcp	1e-3 S/cm	scripts/mpm_webapp_payload.py:1243	STEP3 이온망 (SDCP)	Y	"1 mS/cm = UNCALIBRATED F1 hook"	CONV		정직 (펠릿 보정 0.62e-3 은 별도 봉인, 이식 금지 명시).		
F06	STEP3	AM 접촉 브리지	bridge_um (기본 1.2·vox; Phase A 0.24 µm)	1.2·vox / 0.24 µm	scripts/step3_sigma.py:359	STEP3 전자망	Y	규약 (CL-87/88)	CONV				CL-87, CL-88
F07	STEP3	레거시 복셀 솔버 상 σ	voxel_conductivity.PHASE_SIGMA	AM 50 mS/cm · VGCF 5e5 · SuperP 1e5 mS/cm · κ VGCF 20/SuperP 5	scripts/voxel_conductivity.py:107	레거시 (생산 import 없음)	N	"LEGACY/STANDALONE … 생산 정본은 step3_sigma"	CONV	DRIFT(정본과 5–10×)	정직하게 불일치를 적어 둠.		SELF-39
G01	STEP4	F, R	F_CONST / R_GAS	96485.33212 C/mol · 8.314462618 J/(mol·K)	scripts/step4_dyn.py:48	STEP4	Y	(SI 정의값)	CONV	PHYS	정확 (webapp/pybamm_predictor.py:172 는 96485 / 8.314 / 298 로 반올림 — 미세 drift).		
G02	STEP4	D_s (NCM)	--d-s	3e-14 m²/s	scripts/step4_dyn.py:2805	STEP4 확산	Y	"Kang&Shin 2025 FEM = Yu2023/Amin 모델-체인 상속, 측정 아님"	LIT-V		kang2025 카드: FEM 입력 D_Li 3×10⁻¹⁴ [S1] — 단 NCA 값 (코드가 "측정 아님" 을 적음).		
G03	STEP4	i0	--i0 / --i0-a-m2	2.0 A/m²	scripts/step4_dyn.py:2809	STEP4 / STEP3 선형 BV	Y	"⚠F1 literature hook (Newman-typical 1-5 A/m²)"	CONV		스윕 hook 로 명시.		
G04	STEP4	방전창	--step4-x100 / x0	0.9084 / 0.2638	scripts/mpm_input_from_case.py:165	킷·웹앱 STEP4 기본	Y	"0.9084 = NMC811 vs-Li GITT 실측 max stoich"	LIT-U	MEAS-NO-DATA(리포 밖 pybamm 데이터)	Chen 2020 (pybamm 파라미터셋) — 정본 카드 없음, OCP 데이터는 리포에 없다. step4_curve_from_log.py 폴백 0.8540 과 drift.	3b95676a8 2026-07-20	
G05	STEP4	R_ct 사이클 앵커	--i0-cycle-mult 앵커	341.7→982.3 Ω·cm²	scripts/step4_dyn.py:2850	사이클 열화 (opt-in)	Y(opt)	"yun2023 R_ct(N) 앵커 341.7→982.3"	LIT-V		yun2023 카드 stated.		
G06	STEP4	R_ct(T) 앵커	--i0-temp-scale	×4.28 (30→60 °C)	scripts/step4_dyn.py:2863	온도 (opt-in)	Y(opt)	"kim2025 R_ct(T)"	LIT-V		kim2025 카드 Table S6: 289.9→67.8 Ω·cm².		
G07	STEP4	집전체 R_int 프리셋	rint_eis_anchors.csv 시나리오	SBE 18/110 · DBE 12/46 · C-SUS 10/30 Ω·cm²	scripts/mpm_webapp_payload.py:2099	STEP3 후처리 (선택)	Y(opt)	"manuscript Fig6e cycled anchors" (정본 CSV 단일 출처)	CAL	OWN-DATA	자체 원고 측정, 데이터 파일 docs/data/rint_eis_anchors.csv 존재.		
H01	coat	LNO R_ct 배수	COATINGS[LNO].r_ct_factor	1/20	scripts/coating_presets.py:48	coated_rint0 — 호출 0 (NOT WIRED)	N	"Kim2025: R_ct 20× 억제"	LIT-V		kim2025 카드: coated 22.4 vs uncoated 453.4 Ω·cm² (62 wt%).		
H02	coat	LNO CEI 억제 배수	COATINGS[LNO].cei_suppress	15	scripts/coating_presets.py:48	coated_chem_x → b1_chem_fade · webapp/app.py (살아 있는 경로)	Y(UI)	"Kim2025: R_ct 20× 억제·CEI 13–20× / Payandeh 93%@200cyc (크기 앵커)"	LIT-M		kim2025 카드의 13–20× 는 R_ct(계면 전하전달저항) 비다 — CEI 화학성장 증분 억제 배수로 옮겨 적은 것은 다른 물리량. Payandeh 카드 없음.	fbde84c4d 2026-07-23	
H03	coat	LZO 배수	COATINGS[LZO]	cei 8 · r_ct 1/6	scripts/coating_presets.py:53	webapp 코팅 셀렉터	Y(UI)	"Kang&Shin LZO 6–8nm CEI 억제 (크기 앵커, 배수는 LNO 하한 보수 추정)"	CONV		추정임을 명시 (두께 6–8 nm 는 kang2025 카드 stated). 배수 8 과 1/6 이 두께 숫자와 같다 — 추정 경로 확인 권장.	fbde84c4d 2026-07-23	
H04	grade	PTFE 기공·σ_ion 계수	_PTFE_DPOR_PER_WT / _PTFE_SION_PER_WT	−6.4 %p/wt% · ×0.74/wt%	scripts/grade_engine.py:1682	/case/<id>/whatif-additives	Y(UI)	"(Hong 2026: 28.7→22.3 vol% @1wt%)" / "(0.087→0.064 mS/cm @1wt%)"	LIT-V	단일점 선형 외삽	hong2026 카드 수치 일치. 단 1 wt% 한 점을 "wt% 당" 선형 계수로 외삽한 것은 규약(카드: 정성·단일조건).		
H05	grade	탄소 퍼콜 문턱·C65 표	_CARB_PC_WT / REISACHER_C65_*	4.0 wt% · 1→0.095 … 5→102 mS/cm	scripts/grade_engine.py:1685	what-if · /predictor	Y(UI)	"Reisacher 2023, C65/LPSCl" + CSV 대조 회귀	LIT-V		reisacher2023 카드 + docs/data/reisacher2023_percolation.csv.		AUD-02
H06	grade	탄소 σ_ion 차단 기울기	_SION_BLOCK_VGCF / _SUPERP	0.05 / 0.09 per wt%	scripts/grade_engine.py:1686	what-if	Y(UI)	"(mild — concentrated fibre)" / "(~1.8× VGCF; our voxel + Kim2025 SP lowest)"	NONE	DRIFT(predictor ×0.99/wt)	수치 출처 없음; 예측기 VGCF 배수(×0.99)와 불일치 (AUD-02 에 기록).		AUD-02
H07	pred	예측기 VGCF σ_el	predictor VGCF 분기	0.4 mS/cm	webapp/predictor_engine.py:869	/predictor	Y(UI)	"⚠ σ_el 0.4 mS/cm 는 **아직 출처 미확인**이다 (AUD-02)"	NONE		옛 "Bielefeld 2023" 지어진 인용은 제거·표지됨.		AUD-02
H08	pred	예측기 이온 폼 (v12)	PHI_C_V12, CN^1.5, cov^0.4, V12_TAU_K/C, V12_V5_K/C	φc 0.20 · 20/1.92 · 5/2.1	webapp/predictor_engine.py:94	/predictor σ_ion	Y(UI)	"v12-clean v3 (FINAL PRODUCTION MODEL, 2026-04-18)"	CAL	DRIFT(생산 T1 과 다른 폼)	보정 기록 있음(docs/ionic_scaling_law_experiments.md). 그러나 생산 σ_ionic 은 T1 (φ_eff 포화·CN²·cov_Hertz^½·Cronau·P2·f_intact)인데 예측기는 은퇴한 v12 기저를 쓴다 — 웹앱 group.html:1333 자신이 v12 를 "2026 초 champion" 으로 적는다.	11ef6c985 2026-05-27	
H09	pred	FORM X φc	predictor PHI_C	0.185	webapp/predictor_engine.py:599	예측기 GPR 보조 적합	Y(UI)	"v2.0: optimized percolation threshold (was 0.18)"	CAL	DRIFT(0.185/0.19/0.20/0.195)	같은 퍼콜 문턱이 파일·함수마다 0.185 · 0.19 · 0.20 · (0.200,0.195) 로 공존.	660600a44 2026-04-24	
I01	law	T1 문턱·포화	SE_PHI_C_P / SE_PHI_C_S / SE_SAT_DELTA	0.200 / 0.195 / 0.040	scripts/generate_comparison_plots.py:4282	σ_ionic T1	Y	"FROZEN" (nested CV)	CAL		docs/sigma_ionic_physics_derivation.md · scripts/nested_cv_sat.py.		
I02	law	T1 power gate	_sat_g_smooth r_cut / α (+결측 AM 반경)	3.5 µm / 2 (결측 2.5 / 5.5 µm)	scripts/generate_comparison_plots.py:4378	σ_ionic T1	Y	"audit-derived AM_S/AM_P midpoint" / "corpus median"	CAL		보정 기록 있음 (L3-02: 주 생산 호출에 게이트 미전달 결함은 별도).		L3-02, L3-05
I03	law	T1 지수	SE_CN_EXP / SE_COV_EXP / φ^½ / f_p³	2 / 0.5 / 0.5 / 3	scripts/generate_comparison_plots.py:4286	σ_ionic T1	Y	"data-locked 91/91" · cov^½ "Holm 1967"	CAL	Holm=LIT-U(교재)			
I04	law	플롯-국소 σ_grain 사본	SIGMA_BULK / SG (12곳)	3.0	scripts/generate_comparison_plots.py:1128	진단 플롯	N(진단)	"σ_grain (grain interior)"	CONV	DRIFT(se_material 미경유)	se_material 헤더가 스스로 인정하는 잔여 사본 — 온도 런에서 25 °C 로 되돌아간다.		
I05	law	열 Ridge	_THERMAL_RIDGE_ALPHA / κ 경계	α 0.05 · 0.05–50	scripts/generate_comparison_plots.py:6829	σ_thermal T1	Y	"per audit"	CAL		CL-12 (열 가중 미적용 타깃) 경고 상속.		CL-12
J01	litref	DEM 겹침 (완화 포함)	max_dr_R_with_relax	0.06–0.10	scripts/build_literature_reference.py:89	literature CSV (표시)	Y(표시)	source 'Minnmann 2021', note 'Relaxation step included' / 헤더 :20 'Minnmann 2021  Adv. Energy Mater. 11 — DEM with relaxation, max overlap 0.08'	FALSE		minnmann2021 카드: J. Electrochem. Soc. 168, 040537 — EIS-TLM 실험 논문이다. DEM 도 겹침 값도 없다. 저널까지 틀렸다.	0a040f2b0 2026-04-29	
J02	litref	DEM 겹침 cap	max_dr_R_with_cap	0.04–0.05	scripts/build_literature_reference.py:85	literature CSV (표시)	Y(표시)	source 'Bielefeld 2020', note 'Explicit overlap cap at 5%' / 헤더 :18 'Bielefeld 2020  J. Electrochem. Soc. — relaxation-included DEM, max overlap 5%'	FALSE		bielefeld2019/2020 카드: GeoDict 확률 배치 기하 모델 — "DEM 이 아니다 … 힘·압밀 역학 전혀 없음", AM 최대 겹침 ~1 vol%.	0a040f2b0 2026-04-29	
J03	litref	DEM 겹침 전형	max_dr_R_typical	0.05–0.15	scripts/build_literature_reference.py:83	literature CSV	Y(표시)	'Wang 2023  J. Power Sources 555'	LIT-U		카드 없음.	0a040f2b0 2026-04-29	
J04	litref	K_IC 범위	K_IC_AM_S / _P / ratio	0.8–1.4 · 0.2–0.5 · 2.5–5.0	scripts/build_literature_reference.py:59	literature CSV	Y(표시)	'Liu 2020' / 'Quinn 2020; de Vasconcelos 2019'	LIT-U	서지 의심(D11·D12)	카드 없음.	0a040f2b0 2026-04-29	
K01	StageE	σ 인자 절단	MIN_FACTOR_CUTOFF	0.05	scripts/run_network_full_corrections.py:418	Stage E	Y	"5 % of original conductance … same philosophy"	CONV				
K02	MPM	파괴 공극 분율	--fracture-void-frag / -pulv	0.15 / 0.35	scripts/mpm3d_compaction.py:886	MPM_FRACTURE (opt-in)	N	"ASSUMED-FORM … 문헌앵커 대기"	CONV				
K03	grade	NMC811 용량	C_AM_MAHG	175 mAh/g	scripts/grade_engine.py:43	grade	Y(UI)	"STEP4 x-window 정합. 옛 190 = 4.3 V 문헌값"	CONV				
