key	verdict	n_occ	sites	evidence_short	first_commit
Klár 2016	V	3	docs/literature_review_dem_mpm_assb.md:41,216 · scripts/mpm_dem_match.py:226 (3)	정본 klar2016 카드: ACM TOG 35(4) 103, DP 원뿔·Coulomb 마찰 — 일치. 단 Klár 는 cap 없는 DP 라 "DPC 원전" 은 느슨한 표현	
Batteries 2023	V	2	docs/reviews/fable_selfreview_request_20260909.md:207 · scripts/grade_engine.py:1699 (2)	정본 reisacher2023 카드: DOI 10.3390/batteries9120595 · 저자 일치	
GeoDict 2023	V	13	docs/lit_bak2024_binder_distribution_multilayer.md:138,390 · docs/lit_koo2025_cnt_wrapped_sc_nca_dry_cathode.md:49,187,403 · docs/lit_koo2026_swcnt_sheath_thick_electrode.md:229,497,498 · docs/lit_lim2025_virtual_calendering_framework.md:126 · docs/lit_yoo2026_porosity_gradient_dry_electrode.md:196 · docs/literature_yonsei_dtbl_2026.md:462,514,634 (13)	정본 koo2026 · lim2025 · yoo2026 · bak2024 카드가 같은 판본 "GeoDict 2023" 을 기록 (소프트웨어 인용)	
GeoDict 2022	V	12	docs/lit_koo2025_cnt_wrapped_sc_nca_dry_cathode.md:49,184,187,194,310,403,470 · docs/lit_lee2023_sicspe_digitaltwin_assb.md:87,260 · docs/literature_yonsei_dtbl_2026.md:514,516,538 (12)	정본 koo2025 · lee2023 카드 "GeoDict 2022" 일치	
GeoDict 2025	V	6	docs/lit_hong2026_cbd_viscoelasticity_springback.md:119 · docs/lit_kim2026_a3d_air_electrode_microstructure_transport.md:71,119,131,132 · docs/literature_yonsei_dtbl_2026.md:329 (6)	정본 hong2026_cbd · kim2026_a3d 카드 일치 (voxel 0.01 µm 포함)	
GeoDict 2020	V	4	docs/lit_park2020_digitaltwin_assb_foundational.md:101,259,455 · docs/positioning_vs_geodict.md:128 (4)	정본 park2020 카드 일치	
Joule 2026	V	4	docs/lit_koo2025_cnt_wrapped_sc_nca_dry_cathode.md:1,15,465 · docs/literature_yonsei_dtbl_2026.md:500 (4)	정본 koo2026 카드: Joule 10, 102392 (10.1016/j.joule.2026.102392)	
Song 2023	V	4	docs/lit_lim2025_virtual_calendering_framework.md:132 · docs/literature_yonsei_dtbl_2026.md:185 · docs/positioning_in_dt_lineage.md:388,467 (4)	정본 lim2025 카드 SI Table S4 "E_NCM622 = 2.61 GPa (ref 4 = Song 2023, AEM)". positioning:388 의 2.611 · σ_y 0.1534 · ν 0.25 는 정본 song2025 카드(NMC711 나노압입) 값	
Zhang 2024	V	4	docs/literature_review_dem_mpm_assb.md:40,88,194,281 (4)	정본 electromechanical_contact_model_particulate_systems 카드 (Chao Zhang, Powder Technol. 2024): eq 12 Holm, 단상이면 1/(2σr_c) 와 정확히 일치	
Kato 2018	V	3	docs/lit_bielefeld2020_effective_ionic_conductivity_binder.md:196,463 · docs/literature_coverage/README.md:482 (3)	정본 bielefeld2020 카드 일치	
Magazine 2024	V	3	docs/lit_choi2024_digital_twin_review_echem.md:11,553 · docs/literature_yonsei_dtbl_2026.md:824 (3)	정본 choi2024_digital_twin_review_echem 카드: E.Chem 매거진 Vol.16 No.1	
Nam 2018	V	3	docs/lit_bielefeld2020_effective_ionic_conductivity_binder.md:26,263 · docs/literature_coverage/README.md:479 (3)	정본 bielefeld2020 카드: 실험 비교점 Nam 2018, GITT, 접촉면적 overlay	
Vaucorbeil 2020	V	3	docs/literature_review_dem_mpm_assb.md:217,221,294 (3)	정본 devaucorbeil2020 카드: Adv. Appl. Mech. 53, 185–398, 339 ref	
Wiegmann 2006	V	3	docs/lit_bielefeld2020_effective_ionic_conductivity_binder.md:29,108,490 (3)	정본 bielefeld2020 카드 일치	
Bosch 2014	V	2	docs/literature_review_dem_mpm_assb.md:36,232 (2)	정본 boschpadros2014 카드: Swansea MSc 2014, LIGGGHTS 방법론	
Braun 2018	V	2	docs/lit_bielefeld2020_effective_ionic_conductivity_binder.md:23,118 (2)	정본 bielefeld2020 카드 일치	
Franco 2026	V	2	docs/data_inventory_20260825.md:298 · docs/plan_vgcf_ptfe_coupling_20260811.md:1 (2)	정본 zhang2026_dryprocess_electrode_architecture 카드: Nature Energy 2026, 10.1038/s41560-026-01981-3, 저자에 Chouchane · Franco · Shpyrko · Meng	
GeoDict 2024	V	2	docs/lit_hong2026_sulfide_cathode_binder_digitaltwin.md:104,446 (2)	정본 hong2026_sulfide_cathode_binder_digitaltwin 카드 일치	
Lim 2023	V	2	docs/lit_park2020_digitaltwin_assb_foundational.md:433 · docs/literature_yonsei_dtbl_2026.md:28 (2)	정본 lee2023 카드 저자에 Hyobin Lee · Jaejin Lim (kim2024 카드도)	
Lischka 2023	V	2	docs/reviews/mixing_model_design_20260919.md:968 · docs/reviews/self_review_mixer_20260921.md:121 (2)	정본 hare2026 카드: DEM 파라미터 출처 [85] Lischka & Nirschl, Energy Technol. 2023 — 세트 값 일치	
Amira 2019	V	1	docs/lit_doux2020_stack_pressure_assb.md:95 (1)	정본 doux2020 카드 일치 (소프트웨어 판본)	
Boyce 2022	V	1	docs/nca_material_preset.md:34 (1)	정본 kang2025_toughened_bimodal 카드: "G_c 1 J/m² — ref [S4] Boyce 2022"	
Brodu 2015	V	1	docs/session_20260825_dem_litdb_progress.md:408 (1)	정본 giannis2021 카드: Brodu · Dijksman · Behringer, PRE 91, 032201 (2015) MC-strain. "광탄성 실측" 은 카드에 없음	
CNT-wrapping 2025	V	1	docs/lit_koo2025_cnt_wrapped_sc_nca_dry_cathode.md:381 (1)	정본 koo2025 카드: ESM 78, 104270 (99.6 wt%, 4.0 g/cm³ 포함)	
Energy 2018	V	1	docs/lit_choi2026_elastomeric_li_metal_anode.md:67 (1)	정본 choi2026_elastomeric_li_metal_anode 카드 같은 문장	
Froboese 2019	V	1	docs/lit_bielefeld2020_effective_ionic_conductivity_binder.md:192 (1)	정본 bielefeld2020 카드 일치	
GeoDict 2018	V	1	docs/lit_bielefeld2019_microstructural_modeling_composite_cathodes.md:280 (1)	정본 bielefeld2019 카드 "Version 2018 SP 5, ref 30" 일치	
GeoDict 2019	V	1	docs/lit_bielefeld2020_effective_ionic_conductivity_binder.md:324 (1)	정본 bielefeld2020 카드 일치	
Grieves 2000	V	1	docs/positioning_in_dt_lineage.md:50 (1)	정본 park2020 카드: "2000년대 Michael Grieves"	
Han 2021	V	1	docs/lit_minnmann2022_designing_cathodes_solidstate.md:196 (1)	정본 minnmann2022 카드 같은 서술	
Harthong 2009	V	1	docs/session_20260825_dem_litdb_progress.md:408 (1)	정본 demirtas2021 카드 [30] IJSS 46 (2009) 3357 고밀도 압밀 DEM · gonzalez2012 카드 (FEM 격자에서 소성 접촉법칙 적합)	
Letters 2024	V	1	docs/lit_choi2024_digital_twin_review_echem.md:16 (1)	정본 kim2024_digital_twin_acsenergyletters 카드: 10.1021/acsenergylett.4c01931	
Pantaleev 2017	V	1	docs/reviews/mixing_model_design_20260919.md:247 (1)	정본 jadidi2023 카드 Table 12 (Pantaleev 2017) 일치	
Rabbani 2014	V	1	docs/lit_koo2026_swcnt_sheath_thick_electrode.md:233 (1)	정본 koo2026 카드: "PNM = MATLAB + Rabbani 2014 오픈소스"	
Samsung 2024	V	1	docs/literature_review_dem_mpm_assb.md:80 (1)	정본 interfacial_impedance_formulation_assb_cathode 카드: Choi 외 (SAIT), ACS AMI 16, 26066 (2024), TLM	
Shi 2020	V	1	docs/lit_bielefeld2020_effective_ionic_conductivity_binder.md:361 (1)	정본 shi2019_high_am_loading 카드 (AEM 2019/2020, 1902881): "SE 를 CAM 보다 작게 (λ↑)"	
Sources 2022	V	1	docs/reviews/mixing_model_design_20260919.md:818 (1)	정본 so2022_dem_compaction_coated_particles 카드: JPS 530, 231279 — 수치 일치	
Vu-Quoc 2001	V	1	docs/session_20260825_dem_litdb_progress.md:338 (1)	정본 demirtas2021 카드: "[24] = Vu-Quoc 2001"	
Worlds 1991	V	1	docs/positioning_in_dt_lineage.md:50 (1)	정본 park2020 카드: 디지털트윈 계보 Gelernter Mirror Worlds (1991) → Grieves	
Zeier 2020	V	1	docs/lit_cronau2021_stack_pressure_ionic_conductivity.md:96 (1)	정본 ohno2020 카드: ACS Energy Lett. 2020 round robin, "같은 배치 argyrodite 5종 × 8 데이터셋"	
Apr- 2026	NOISE	1	scripts/generate_comparison_plots.py:1930 (1)	날짜 'Apr-2026' (재적합 시점 주석) — 인용 아님	
Aug 2026	NOISE	1	scripts/seminar_deck/build.js:519 (1)	날짜 'Aug 2026' (세미나 덱 프레임 부제) — 인용 아님	
ADAPTIVE 2026	NOISE	1	scripts/mpm3d_compaction.py:3174 (1)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
ADOPTED 2026	NOISE	2	CLAUDE.md:1682 · scripts/nested_cv_sat.py:92 (2)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
ATTRIBUTION 2026	NOISE	1	scripts/network_conductivity.py:79 (1)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
Adopted 2026	NOISE	2	scripts/generate_comparison_plots.py:4366 · scripts/nested_cv_sat.py:223 (2)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
Aligned 2026	NOISE	1	scripts/additives.py:31 (1)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
BUILT 2026	NOISE	6	docs/eis_drt_ica_cv.md:61,74,81,95,113 · docs/ml_v3_surrogate_cycling.md:42 (6)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
CHANGED 2026	NOISE	1	webapp/predictor_engine.py:1040 (1)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
CHECK 2026	NOISE	1	scripts/electronic_nested_cv.py:106 (1)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
CLOSE-OUT 2026	NOISE	4	CLAUDE.md:1834,1978 · docs/a1_sigma_e_direction_closeout.md:1 · docs/data_inventory_20260825.md:199 (4)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
CLOSED 2026	NOISE	15	CLAUDE.md:2260 · docs/a3_binder_sweep_result.md:67 · docs/digest_model_application_backlog.md:15,17,19,20,22,24,28,29,124 · docs/sdcp_manuscript_anchors.md:132 · docs/session_20260909_progress.md:237 · docs/stage2_model_audit_vs_literature.md:105 · webapp/predictor_engine.py:51 (15)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
COMPLETE 2026	NOISE	2	CLAUDE.md:1593 · scripts/generate_fitting_report.py:743 (2)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
CONFIRMED 2026	NOISE	1	docs/mpm_wallP_conditional_troubleshooting.md:287 (1)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
CONVERGENCE 2026	NOISE	1	CLAUDE.md:1113 (1)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
CORRECTED 2026	NOISE	1	docs/rint_anchor_db_research.md:49 (1)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
CORRECTION 2026	NOISE	1	scripts/generate_comparison_plots.py:5812 (1)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
CORRECTIONS 2026	NOISE	1	docs/mpm_dem_wallP_crossvalidation.md:11 (1)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
CROSS-CHECK 2026	NOISE	1	CLAUDE.md:1122 (1)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
CROSS-VALIDATION 2026	NOISE	1	CLAUDE.md:1534 (1)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
Created 2026	NOISE	1	docs/literature_dry_assb.md:515 (1)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
EXHAUSTED 2026	NOISE	1	CLAUDE.md:2227 (1)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
Excluded 2026	NOISE	1	scripts/nested_cv_sat.py:52 (1)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
FINALIZED 2026	NOISE	2	CLAUDE.md:435 · docs/contradiction_audit_20260720.md:74 (2)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
GPU-CONFIRMED 2026	NOISE	1	docs/mpm_wallP_conditional_troubleshooting.md:457 (1)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
GRID-CONVERGENCE 2026	NOISE	1	CLAUDE.md:1356 (1)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
HISTORICAL 2026	NOISE	2	docs/data_inventory_20260825.md:279 · docs/manuscript_sdcp_sigma_e_mechanism.md:1 (2)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
IMPORTANT 2026	NOISE	2	docs/data/audit_20260909/audit1_ground_truth.md:83 · scripts/generate_comparison_plots.py:2627 (2)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
LOGIC 2026	NOISE	1	scripts/mpm3d_compaction.py:1195 (1)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
MERGE 2026	NOISE	1	webapp/app.py:6218 (1)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
MOMENT 2026	NOISE	1	CLAUDE.md:1759 (1)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
PENDING 2026	NOISE	1	CLAUDE.md:944 (1)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
PREFERRED 2026	NOISE	1	scripts/electronic_nested_cv.py:76 (1)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
REFINEMENT 2026	NOISE	1	CLAUDE.md:2200 (1)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
RESOLVED 2026	NOISE	2	CLAUDE.md:972,1723 (2)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
RETIRED 2026	NOISE	1	scripts/additives.py:871 (1)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
SOLUTION 2026	NOISE	1	docs/fibre_rod_mpm_design.md:130 (1)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
STATUS 2026	NOISE	1	docs/manuscript_draft/build.js:116 (1)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
STRIP 2026	NOISE	1	webapp/app.py:6164 (1)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
SUPERSEDED 2026	NOISE	2	docs/reviews/lhs_ext_r14_closure_20260830.md:65 · docs/reviews/ms_si_v6_edit_sheet_20260831.md:3 (2)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
SUPPRESSION 2026	NOISE	1	webapp/app.py:1177 (1)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
TIMELOG 2026	NOISE	1	CLAUDE.md:1039 (1)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
UNCHANGED 2026	NOISE	1	docs/cbd_morphology_roadmap.md:90 (1)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
UPDATE 2026	NOISE	3	CLAUDE.md:944 · docs/additive_process_matrix.md:32 · scripts/step3_sigma.py:90 (3)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
USABLE 2026	NOISE	1	CLAUDE.md:1471 (1)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
VALIDATION 2026	NOISE	1	CLAUDE.md:2350 (1)	상태 표기 + 날짜 (문서 이력 헤더) — 인용 아님	
Accepted 2020	NOISE	1	docs/lit_bielefeld2020_effective_ionic_conductivity_binder.md:6 (1)	원고 이력 날짜(Received/Revised/Accepted/Published/Copyright) — 인용 아님	
Accepted 2021	NOISE	1	docs/lit_cronau2021_stack_pressure_ionic_conductivity.md:8 (1)	원고 이력 날짜(Received/Revised/Accepted/Published/Copyright) — 인용 아님	
Accepted 2024	NOISE	1	docs/literature_yonsei_dtbl_2026.md:787 (1)	원고 이력 날짜(Received/Revised/Accepted/Published/Copyright) — 인용 아님	
Accepted 2025	NOISE	1	docs/lit_lee2025_corolling_dryprocess_assb.md:11 (1)	원고 이력 날짜(Received/Revised/Accepted/Published/Copyright) — 인용 아님	
Copyright 2020	NOISE	1	docs/lit_kim2024_digital_twin_acsenergyletters.md:230 (1)	원고 이력 날짜(Received/Revised/Accepted/Published/Copyright) — 인용 아님	
Published 2018	NOISE	1	docs/lit_bielefeld2019_microstructural_modeling_composite_cathodes.md:5 (1)	원고 이력 날짜(Received/Revised/Accepted/Published/Copyright) — 인용 아님	
Published 2020	NOISE	1	docs/lit_bielefeld2020_effective_ionic_conductivity_binder.md:6 (1)	원고 이력 날짜(Received/Revised/Accepted/Published/Copyright) — 인용 아님	
Published 2021	NOISE	1	docs/lit_trevisanello2021_sc_pc_ncm_cracking_diffusion.md:8 (1)	원고 이력 날짜(Received/Revised/Accepted/Published/Copyright) — 인용 아님	
Published 2022	NOISE	1	docs/lit_minnmann2022_designing_cathodes_solidstate.md:8 (1)	원고 이력 날짜(Received/Revised/Accepted/Published/Copyright) — 인용 아님	
Published 2023	NOISE	1	docs/lit_lee2023_sicspe_digitaltwin_assb.md:7 (1)	원고 이력 날짜(Received/Revised/Accepted/Published/Copyright) — 인용 아님	
Received 2018	NOISE	1	docs/lit_bielefeld2019_microstructural_modeling_composite_cathodes.md:5 (1)	원고 이력 날짜(Received/Revised/Accepted/Published/Copyright) — 인용 아님	
Received 2019	NOISE	2	docs/lit_bielefeld2020_effective_ionic_conductivity_binder.md:6 · docs/lit_doux2020_stack_pressure_assb.md:7 (2)	원고 이력 날짜(Received/Revised/Accepted/Published/Copyright) — 인용 아님	
Received 2020	NOISE	2	docs/lit_park2020_digitaltwin_assb_foundational.md:5 · docs/lit_trevisanello2021_sc_pc_ncm_cracking_diffusion.md:8 (2)	원고 이력 날짜(Received/Revised/Accepted/Published/Copyright) — 인용 아님	
Received 2021	NOISE	2	docs/lit_cronau2021_stack_pressure_ionic_conductivity.md:8,35 (2)	원고 이력 날짜(Received/Revised/Accepted/Published/Copyright) — 인용 아님	
Received 2022	NOISE	2	docs/lit_lee2023_sicspe_digitaltwin_assb.md:6 · docs/lit_minnmann2022_designing_cathodes_solidstate.md:8 (2)	원고 이력 날짜(Received/Revised/Accepted/Published/Copyright) — 인용 아님	
Received 2024	NOISE	2	docs/lit_lee2025_corolling_dryprocess_assb.md:11 · docs/literature_yonsei_dtbl_2026.md:787 (2)	원고 이력 날짜(Received/Revised/Accepted/Published/Copyright) — 인용 아님	
Revised 2018	NOISE	1	docs/lit_bielefeld2019_microstructural_modeling_composite_cathodes.md:5 (1)	원고 이력 날짜(Received/Revised/Accepted/Published/Copyright) — 인용 아님	
Revised 2019	NOISE	1	docs/lit_doux2020_stack_pressure_assb.md:7 (1)	원고 이력 날짜(Received/Revised/Accepted/Published/Copyright) — 인용 아님	
Revised 2020	NOISE	1	docs/lit_park2020_digitaltwin_assb_foundational.md:6 (1)	원고 이력 날짜(Received/Revised/Accepted/Published/Copyright) — 인용 아님	
Revised 2022	NOISE	2	docs/lit_lee2023_sicspe_digitaltwin_assb.md:6 · docs/lit_minnmann2022_designing_cathodes_solidstate.md:8 (2)	원고 이력 날짜(Received/Revised/Accepted/Published/Copyright) — 인용 아님	
Bardenhagen 2000	NOISE	2	docs/literature_coverage/pdfs/Klar_2016_ACMTOG_DruckerPrager_SandAnimation.txt:72,175 (2)	제3자 논문 원문 추출 텍스트(docs/literature_coverage/pdfs/Klar_2016_…txt) 속 Klár 2016 자신의 참고문헌 — 리포 주장 아님	
Bell 2005	NOISE	1	docs/literature_coverage/pdfs/Klar_2016_ACMTOG_DruckerPrager_SandAnimation.txt:156 (1)	제3자 논문 원문 추출 텍스트(docs/literature_coverage/pdfs/Klar_2016_…txt) 속 Klár 2016 자신의 참고문헌 — 리포 주장 아님	
Bonet 2008	NOISE	3	docs/literature_coverage/pdfs/Klar_2016_ACMTOG_DruckerPrager_SandAnimation.txt:209,1031,1136 (3)	제3자 논문 원문 추출 텍스트(docs/literature_coverage/pdfs/Klar_2016_…txt) 속 Klár 2016 자신의 참고문헌 — 리포 주장 아님	
Chang 2012	NOISE	1	docs/literature_coverage/pdfs/Klar_2016_ACMTOG_DruckerPrager_SandAnimation.txt:149 (1)	제3자 논문 원문 추출 텍스트(docs/literature_coverage/pdfs/Klar_2016_…txt) 속 Klár 2016 자신의 참고문헌 — 리포 주장 아님	
Chen 2013	NOISE	1	docs/literature_coverage/pdfs/Klar_2016_ACMTOG_DruckerPrager_SandAnimation.txt:225 (1)	제3자 논문 원문 추출 텍스트(docs/literature_coverage/pdfs/Klar_2016_…txt) 속 Klár 2016 자신의 참고문헌 — 리포 주장 아님	
Cummins 2002	NOISE	1	docs/literature_coverage/pdfs/Klar_2016_ACMTOG_DruckerPrager_SandAnimation.txt:175 (1)	제3자 논문 원문 추출 텍스트(docs/literature_coverage/pdfs/Klar_2016_…txt) 속 Klár 2016 자신의 참고문헌 — 리포 주장 아님	
Drucker 1952	NOISE	2	docs/literature_coverage/pdfs/Klar_2016_ACMTOG_DruckerPrager_SandAnimation.txt:93,212 (2)	제3자 논문 원문 추출 텍스트(docs/literature_coverage/pdfs/Klar_2016_…txt) 속 Klár 2016 자신의 참고문헌 — 리포 주장 아님	
Gast 2015	NOISE	1	docs/literature_coverage/pdfs/Klar_2016_ACMTOG_DruckerPrager_SandAnimation.txt:1364 (1)	제3자 논문 원문 추출 텍스트(docs/literature_coverage/pdfs/Klar_2016_…txt) 속 Klár 2016 자신의 참고문헌 — 리포 주장 아님	
Imhsen 2013	NOISE	1	docs/literature_coverage/pdfs/Klar_2016_ACMTOG_DruckerPrager_SandAnimation.txt:146 (1)	제3자 논문 원문 추출 텍스트(docs/literature_coverage/pdfs/Klar_2016_…txt) 속 Klár 2016 자신의 참고문헌 — 리포 주장 아님	
Jiang 2015	NOISE	9	docs/literature_coverage/pdfs/Klar_2016_ACMTOG_DruckerPrager_SandAnimation.txt:104,171,173,519,598,1633 (9)	제3자 논문 원문 추출 텍스트(docs/literature_coverage/pdfs/Klar_2016_…txt) 속 Klár 2016 자신의 참고문헌 — 리포 주장 아님	
Laenerts 2009	NOISE	1	docs/literature_coverage/pdfs/Klar_2016_ACMTOG_DruckerPrager_SandAnimation.txt:143 (1)	제3자 논문 원문 추출 텍스트(docs/literature_coverage/pdfs/Klar_2016_…txt) 속 Klár 2016 자신의 참고문헌 — 리포 주장 아님	
Macklin 2014	NOISE	2	docs/literature_coverage/pdfs/Klar_2016_ACMTOG_DruckerPrager_SandAnimation.txt:164,1708 (2)	제3자 논문 원문 추출 텍스트(docs/literature_coverage/pdfs/Klar_2016_…txt) 속 Klár 2016 자신의 참고문헌 — 리포 주장 아님	
Mast 2013	NOISE	5	docs/literature_coverage/pdfs/Klar_2016_ACMTOG_DruckerPrager_SandAnimation.txt:89,174,1148,1635,1719 (5)	제3자 논문 원문 추출 텍스트(docs/literature_coverage/pdfs/Klar_2016_…txt) 속 Klár 2016 자신의 참고문헌 — 리포 주장 아님	
Mast 2014	NOISE	2	docs/literature_coverage/pdfs/Klar_2016_ACMTOG_DruckerPrager_SandAnimation.txt:174,1357 (2)	제3자 논문 원문 추출 텍스트(docs/literature_coverage/pdfs/Klar_2016_…txt) 속 Klár 2016 자신의 참고문헌 — 리포 주장 아님	
Mazhar 2015	NOISE	1	docs/literature_coverage/pdfs/Klar_2016_ACMTOG_DruckerPrager_SandAnimation.txt:160 (1)	제3자 논문 원문 추출 텍스트(docs/literature_coverage/pdfs/Klar_2016_…txt) 속 Klár 2016 자신의 참고문헌 — 리포 주장 아님	
Milenkovic 1996	NOISE	1	docs/literature_coverage/pdfs/Klar_2016_ACMTOG_DruckerPrager_SandAnimation.txt:158 (1)	제3자 논문 원문 추출 텍스트(docs/literature_coverage/pdfs/Klar_2016_…txt) 속 Klár 2016 자신의 참고문헌 — 리포 주장 아님	
Miller 1989	NOISE	1	docs/literature_coverage/pdfs/Klar_2016_ACMTOG_DruckerPrager_SandAnimation.txt:154 (1)	제3자 논문 원문 추출 텍스트(docs/literature_coverage/pdfs/Klar_2016_…txt) 속 Klár 2016 자신의 참고문헌 — 리포 주장 아님	
Narain 2010	NOISE	4	docs/literature_coverage/pdfs/Klar_2016_ACMTOG_DruckerPrager_SandAnimation.txt:129,1622,1709,1917 (4)	제3자 논문 원문 추출 텍스트(docs/literature_coverage/pdfs/Klar_2016_…txt) 속 Klár 2016 자신의 참고문헌 — 리포 주장 아님	
Nkulikiyimfura 2012	NOISE	1	docs/literature_coverage/pdfs/Klar_2016_ACMTOG_DruckerPrager_SandAnimation.txt:142 (1)	제3자 논문 원문 추출 텍스트(docs/literature_coverage/pdfs/Klar_2016_…txt) 속 Klár 2016 자신의 참고문헌 — 리포 주장 아님	
Otaduy 2011	NOISE	2	docs/literature_coverage/pdfs/Klar_2016_ACMTOG_DruckerPrager_SandAnimation.txt:145,148 (2)	제3자 논문 원문 추출 텍스트(docs/literature_coverage/pdfs/Klar_2016_…txt) 속 Klár 2016 자신의 참고문헌 — 리포 주장 아님	
Pla-Castells 2006	NOISE	1	docs/literature_coverage/pdfs/Klar_2016_ACMTOG_DruckerPrager_SandAnimation.txt:226 (1)	제3자 논문 원문 추출 텍스트(docs/literature_coverage/pdfs/Klar_2016_…txt) 속 Klár 2016 자신의 참고문헌 — 리포 주장 아님	
Ram 2015	NOISE	1	docs/literature_coverage/pdfs/Klar_2016_ACMTOG_DruckerPrager_SandAnimation.txt:173 (1)	제3자 논문 원문 추출 텍스트(docs/literature_coverage/pdfs/Klar_2016_…txt) 속 Klár 2016 자신의 참고문헌 — 리포 주장 아님	
Steffen 2008	NOISE	1	docs/literature_coverage/pdfs/Klar_2016_ACMTOG_DruckerPrager_SandAnimation.txt:530 (1)	제3자 논문 원문 추출 텍스트(docs/literature_coverage/pdfs/Klar_2016_…txt) 속 Klár 2016 자신의 참고문헌 — 리포 주장 아님	
Stuart 2008	NOISE	1	docs/literature_coverage/pdfs/Klar_2016_ACMTOG_DruckerPrager_SandAnimation.txt:132 (1)	제3자 논문 원문 추출 텍스트(docs/literature_coverage/pdfs/Klar_2016_…txt) 속 Klár 2016 자신의 참고문헌 — 리포 주장 아님	
Sumner 1999	NOISE	1	docs/literature_coverage/pdfs/Klar_2016_ACMTOG_DruckerPrager_SandAnimation.txt:179 (1)	제3자 논문 원문 추출 텍스트(docs/literature_coverage/pdfs/Klar_2016_…txt) 속 Klár 2016 자신의 참고문헌 — 리포 주장 아님	
Wood 2008	NOISE	1	docs/literature_coverage/pdfs/Klar_2016_ACMTOG_DruckerPrager_SandAnimation.txt:1334 (1)	제3자 논문 원문 추출 텍스트(docs/literature_coverage/pdfs/Klar_2016_…txt) 속 Klár 2016 자신의 참고문헌 — 리포 주장 아님	
Yasuda 2008	NOISE	1	docs/literature_coverage/pdfs/Klar_2016_ACMTOG_DruckerPrager_SandAnimation.txt:161 (1)	제3자 논문 원문 추출 텍스트(docs/literature_coverage/pdfs/Klar_2016_…txt) 속 Klár 2016 자신의 참고문헌 — 리포 주장 아님	
Yue 2015	NOISE	1	docs/literature_coverage/pdfs/Klar_2016_ACMTOG_DruckerPrager_SandAnimation.txt:172 (1)	제3자 논문 원문 추출 텍스트(docs/literature_coverage/pdfs/Klar_2016_…txt) 속 Klár 2016 자신의 참고문헌 — 리포 주장 아님	
Zhu 2005	NOISE	2	docs/literature_coverage/pdfs/Klar_2016_ACMTOG_DruckerPrager_SandAnimation.txt:127,1621 (2)	제3자 논문 원문 추출 텍스트(docs/literature_coverage/pdfs/Klar_2016_…txt) 속 Klár 2016 자신의 참고문헌 — 리포 주장 아님	
Thinky 2000	NOISE	2	docs/lit_lee2023_sicspe_digitaltwin_assb.md:82 · docs/reviews/ms_readthrough_20260903.md:408 (2)	혼합기 상표 + 회전수 ('Thinky 2000 rpm') — 인용 아님	
